Segundo,Pose
43.900000,OTRO
44.000000,OTRO
44.100000,OTRO
44.200000,OTRO
44.300000,OTRO
44.400000,OTRO
44.500000,OTRO
44.600000,OTRO
44.700000,OTRO
44.800000,OTRO
44.900000,OTRO
45.000000,OTRO
45.100000,OTRO
45.200000,OTRO
45.300000,OTRO
45.400000,OTRO
45.500000,OTRO
45.600000,OTRO
45.700000,OTRO
45.800000,OTRO
45.900000,OTRO
46.000000,OTRO
46.100000,OTRO
46.200000,OTRO
46.300000,OTRO
46.400000,OTRO
46.500000,OTRO
46.600000,OTRO
46.700000,OTRO
46.800000,OTRO
46.900000,OTRO
47.000000,OTRO
47.100000,OTRO
47.200000,OTRO
47.300000,OTRO
47.400000,OTRO
47.500000,OTRO
47.600000,OTRO
47.700000,OTRO
47.800000,OTRO
47.900000,OTRO
48.000000,OTRO
48.100000,OTRO
48.200000,OTRO
48.300000,OTRO
48.400000,OTRO
48.500000,OTRO
48.600000,OTRO
48.700000,OTRO
48.800000,OTRO
48.900000,OTRO
49.000000,OTRO
49.100000,OTRO
49.200000,OTRO
49.300000,OTRO
49.400000,OTRO
49.500000,OTRO
49.600000,OTRO
49.700000,OTRO
49.800000,OTRO
49.900000,BRAZOS_CRUZADOS
50.000000,BRAZOS_CRUZADOS
50.100000,FIRMES
50.200000,FIRMES
50.300000,FIRMES
50.400000,FIRMES
50.500000,FIRMES
50.600000,FIRMES
50.700000,FIRMES
50.800000,FIRMES
50.900000,FIRMES
51.000000,FIRMES
51.100000,FIRMES
51.200000,POSICION_FETAL
51.300000,POSICION_FETAL
51.400000,POSICION_FETAL
51.500000,POSICION_FETAL
51.600000,POSICION_FETAL
51.700000,POSICION_FETAL
51.800000,POSICION_FETAL
51.900000,POSICION_FETAL
52.000000,POSICION_FETAL
52.100000,POSICION_FETAL
52.200000,OTRO
52.300000,OTRO
52.400000,OTRO
52.500000,OTRO
52.600000,OTRO
52.700000,OTRO
52.800000,OTRO
52.900000,OTRO
53.000000,OTRO
53.100000,OTRO
53.200000,OTRO
53.300000,OTRO
53.400000,OTRO
53.500000,OTRO
53.600000,FIRMES
53.700000,FIRMES
53.800000,FIRMES
53.900000,FIRMES
54.000000,FIRMES
54.100000,FIRMES
54.200000,FIRMES
54.300000,FIRMES
54.400000,FIRMES
54.500000,FIRMES
54.600000,FIRMES
54.700000,FIRMES
54.800000,FIRMES
54.900000,FIRMES
55.000000,FIRMES
55.100000,FIRMES
55.200000,FIRMES
55.300000,FIRMES
55.400000,FIRMES
55.500000,FIRMES
55.600000,OTRO
55.700000,OTRO
55.800000,OTRO
55.900000,OTRO
56.000000,OTRO
56.100000,OTRO
56.200000,OTRO
56.300000,OTRO
56.400000,OTRO
56.500000,OTRO
56.600000,OTRO
56.700000,OTRO
56.800000,OTRO
56.900000,OTRO
57.000000,OTRO
57.100000,OTRO
57.200000,OTRO
57.300000,OTRO
57.400000,OTRO
57.500000,OTRO
57.600000,OTRO
57.700000,OTRO
57.800000,OTRO
57.900000,OTRO
58.000000,OTRO
58.100000,OTRO
58.200000,OTRO
58.300000,BRAZOS_CRUZADOS
58.400000,BRAZOS_CRUZADOS
58.500000,OTRO
58.600000,OTRO
58.700000,OTRO
58.800000,OTRO
58.900000,OTRO
59.000000,OTRO
59.100000,OTRO
59.200000,OTRO
59.300000,OTRO
59.400000,OTRO
59.500000,OTRO
59.600000,OTRO
59.700000,OTRO
59.800000,OTRO
59.900000,OTRO
60.000000,OTRO
60.100000,OTRO
60.200000,OTRO
60.300000,OTRO
60.400000,OTRO
60.500000,OTRO
60.600000,OTRO
60.700000,FIRMES
60.800000,BRAZOS_CRUZADOS
60.900000,BRAZOS_CRUZADOS
61.000000,BRAZOS_CRUZADOS
61.100000,BRAZOS_CRUZADOS
61.200000,BRAZOS_CRUZADOS
61.300000,FIRMES
61.400000,FIRMES
61.500000,BRAZOS_CRUZADOS
61.600000,BRAZOS_CRUZADOS
61.700000,BRAZOS_CRUZADOS
61.800000,OTRO
61.900000,OTRO
62.000000,OTRO
62.100000,FIRMES
62.200000,FIRMES
62.300000,FIRMES
62.400000,FIRMES
62.500000,FIRMES
62.600000,OTRO
62.700000,OTRO
